conotool csv
//HEADER//
invert,0
maxtheta,90 
maxphi,359 
thetastep,1 
phistep,1 
source,Autronics
filename,@Detector_Ang20400.csv
commondata,yes
datatype,Luminance
spotsize,N/A
spotinpower,N/A
//BODY//
Phi\Theta,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 ,33 ,34 ,35 ,36 ,37 ,38 ,39 ,40 ,41 ,42 ,43 ,44 ,45 ,46 ,47 ,48 ,49 ,50 ,51 ,52 ,53 ,54 ,55 ,56 ,57 ,58 ,59 ,60 ,61 ,62 ,63 ,64 ,65 ,66 ,67 ,68 ,69 ,70 ,71 ,72 ,73 ,74 ,75 ,76 ,77 ,78 ,79 ,80 ,81 ,82 ,83 ,84 ,85 ,86 ,87 ,88 ,89 ,90 ,
0 ,0.3254026 ,0.3392778 ,0.3670282 ,0.3947787 ,0.4225291 ,0.4502795 ,0.4314232 ,0.3611727 ,0.255231 ,0.186646 ,0.173587 ,0.2191474 ,0.2725491 ,0.3353577 ,0.4458231 ,0.4708532 ,0.546185 ,0.523213 ,0.5448286 ,0.6639398 ,0.9119409 ,1.106074 ,1.133904 ,0.9959186 ,0.7719834 ,0.7034375 ,0.6873874 ,0.7610901 ,0.7492056 ,0.5887506 ,0.7442843 ,0.5821775 ,0.5796263 ,0.2633111 ,0.3526853 ,0.3555489 ,0.6927924 ,0.7504196 ,0.8305736 ,0.781741 ,0.7879683 ,0.6446873 ,0.5641886 ,0.7259381 ,0.9624214 ,1.083476 ,0.9693299 ,0.8973179 ,0.7249182 ,0.5336215 ,0.5523618 ,0.6826059 ,0.7586671 ,0.9721716 ,1.106112 ,1.178196 ,1.118998 ,0.9824456 ,1.006128 ,0.8914832 ,0.8911257 ,0.9412066 ,0.8604745 ,0.8381282 ,0.6575612 ,0.7059783 ,0.735939 ,0.7636085 ,0.8734283 ,0.8479492 ,1.023331 ,1.014405 ,0.9049194 ,0.7142373 ,0.5889743 ,0.8187963 ,1.126837 ,1.361013 ,1.29915 ,1.091552 ,0.8252234 ,0.6113291 ,0.464385 ,0.38 ,0.3396792 ,0.32041 ,0.32041 ,0.32041 ,0.32041 ,0.32041 ,0.32041 ,
1 ,0.3237384 ,0.3329885 ,0.3514888 ,0.3699891 ,0.3884894 ,0.4069897 ,0.4453765 ,0.5056926 ,0.5706901 ,0.5914401 ,0.5556237 ,0.4660545 ,0.4391427 ,0.4849902 ,0.5471305 ,0.5361568 ,0.5597693 ,0.5756764 ,0.5939262 ,0.6724064 ,0.8840991 ,1.089856 ,1.081193 ,0.9332231 ,0.8076766 ,0.7683182 ,0.7796718 ,0.7469061 ,0.7389831 ,0.6643568 ,0.7187715 ,0.5398347 ,0.500632 ,0.3375457 ,0.5334044 ,0.5641731 ,0.7387842 ,0.6785655 ,0.7584869 ,0.7995615 ,0.9763762 ,0.820936 ,0.8319358 ,0.8359333 ,1.062291 ,1.144013 ,1.096683 ,1.084276 ,0.9502367 ,0.8260977 ,0.8563546 ,0.8966062 ,0.9423623 ,0.9511853 ,1.024949 ,1.010195 ,1.02223 ,0.8755231 ,0.9111242 ,0.8456904 ,0.8782006 ,0.8697488 ,0.8321849 ,0.8631899 ,0.7830639 ,0.884649 ,0.897174 ,0.9510117 ,0.9361967 ,0.8984326 ,0.9417836 ,0.8843486 ,0.8184378 ,0.7030235 ,0.5882054 ,0.7676259 ,1.035239 ,1.248399 ,1.141495 ,0.9345528 ,0.753496 ,0.6640539 ,0.6162296 ,0.5732479 ,0.5400209 ,0.5149775 ,0.4974247 ,0.4798718 ,0.462319 ,0.4447662 ,0.4359898 ,
2 ,0.3270668 ,0.3455671 ,0.3825676 ,0.4195682 ,0.4565688 ,0.4935694 ,0.5830824 ,0.7305021 ,0.8825397 ,0.8969548 ,0.8075399 ,0.722626 ,0.7523282 ,0.8274213 ,0.8012268 ,0.7017558 ,0.6475541 ,0.6071733 ,0.5697695 ,0.5313865 ,0.6040889 ,0.8642424 ,0.9186592 ,0.9140765 ,0.8216449 ,0.8150241 ,0.8665409 ,0.8264285 ,0.7575033 ,0.6650931 ,0.6516986 ,0.5406766 ,0.6136271 ,0.5416292 ,0.7535529 ,0.7341623 ,0.6805498 ,0.6734305 ,0.7000481 ,0.9296943 ,0.9912025 ,0.9279433 ,0.9964429 ,1.00938 ,1.179344 ,1.18807 ,1.092932 ,1.178458 ,1.090047 ,1.114418 ,1.002272 ,0.9498597 ,0.9156687 ,0.7999218 ,0.8778994 ,0.8915471 ,0.9975747 ,0.8649674 ,0.8454565 ,0.7484653 ,0.7131025 ,0.8075677 ,0.9903251 ,1.104577 ,1.100144 ,1.047527 ,0.9754118 ,0.9297364 ,0.9175409 ,0.9495191 ,0.8575025 ,0.7825918 ,0.8535919 ,0.8844077 ,0.734681 ,0.7136861 ,0.8636332 ,1.057889 ,1.023019 ,0.9018156 ,0.7547315 ,0.647321 ,0.6176232 ,0.6666836 ,0.7014057 ,0.6905059 ,0.6378474 ,0.5851889 ,0.5325304 ,0.4798718 ,0.4535426 ,
3 ,0.3270668 ,0.3455671 ,0.3825676 ,0.4195682 ,0.4565688 ,0.4935694 ,0.5958218 ,0.770029 ,0.9712261 ,1.05845 ,1.022287 ,0.9038956 ,0.84805 ,0.8582963 ,0.8848355 ,0.8565668 ,0.7711563 ,0.6448591 ,0.5563056 ,0.5633863 ,0.6324744 ,0.7651436 ,0.7608506 ,0.7773825 ,0.887957 ,0.931701 ,0.9498105 ,0.8551439 ,0.8304166 ,0.7715137 ,0.6319447 ,0.4902135 ,0.5488388 ,0.6149134 ,0.8733844 ,0.9217872 ,0.8805928 ,0.8255614 ,0.843465 ,1.027099 ,1.022747 ,0.9887788 ,1.074529 ,1.015234 ,1.11125 ,1.25589 ,1.293907 ,1.450437 ,1.162244 ,1.224928 ,1.050536 ,1.059041 ,0.9958785 ,0.9869256 ,0.9901858 ,1.0434 ,1.034096 ,0.9784239 ,0.9529169 ,0.8468294 ,0.8411241 ,0.8508124 ,1.053185 ,1.010034 ,0.9799291 ,0.8354495 ,0.8356319 ,0.8639428 ,0.9373027 ,0.9829347 ,0.8006237 ,0.7026848 ,0.815241 ,0.9372122 ,0.8388886 ,0.7620871 ,0.823636 ,0.9188171 ,0.8595269 ,0.7449882 ,0.5996562 ,0.4743892 ,0.4423772 ,0.5211445 ,0.5954399 ,0.6217809 ,0.604228 ,0.5866752 ,0.5691223 ,0.5515695 ,0.5427931 ,
4 ,0.3270668 ,0.3455671 ,0.3825676 ,0.4195682 ,0.4565688 ,0.4935694 ,0.5321247 ,0.5723946 ,0.6227031 ,0.6955115 ,0.8022913 ,0.951056 ,1.024197 ,1.012625 ,0.9899206 ,0.9274644 ,0.8112569 ,0.6004363 ,0.5463457 ,0.6387903 ,0.6792202 ,0.7238817 ,0.7134352 ,0.9406272 ,1.014944 ,1.030336 ,0.9429133 ,0.9131083 ,0.8455307 ,0.7098077 ,0.6357431 ,0.5655507 ,0.6990036 ,0.8319485 ,0.9890715 ,0.9179455 ,0.870155 ,0.916135 ,1.005843 ,1.000751 ,0.8678401 ,0.9234791 ,1.015766 ,1.083092 ,0.9911952 ,1.072811 ,1.069375 ,1.304269 ,1.072563 ,1.110877 ,0.858208 ,0.9379152 ,0.8797043 ,1.013211 ,0.9863651 ,1.072784 ,1.02431 ,1.034107 ,0.9471903 ,0.817507 ,0.7792915 ,0.8528453 ,1.005619 ,0.8884132 ,0.7640739 ,0.5037488 ,0.5039312 ,0.5648384 ,0.7974287 ,0.872707 ,0.7920999 ,0.7992463 ,0.9889595 ,1.098014 ,0.9405005 ,0.7520858 ,0.7056223 ,0.7347926 ,0.7159134 ,0.6487167 ,0.5321007 ,0.4249938 ,0.372541 ,0.3869912 ,0.4075254 ,0.4081742 ,0.3906213 ,0.3730685 ,0.3555157 ,0.3379628 ,0.3291864 ,
5 ,0.3303952 ,0.3581456 ,0.4136465 ,0.4691473 ,0.5246482 ,0.580149 ,0.5806547 ,0.520516 ,0.4493322 ,0.5056138 ,0.6660998 ,0.8405828 ,0.8927106 ,0.8481882 ,0.7822134 ,0.6658501 ,0.602656 ,0.5491542 ,0.5908224 ,0.6540165 ,0.676746 ,0.6631351 ,0.6904441 ,0.8439788 ,0.9445249 ,0.9564417 ,0.8926488 ,0.7937087 ,0.7456305 ,0.6689104 ,0.7147649 ,0.653425 ,0.6426489 ,0.7140118 ,0.8611984 ,0.8364898 ,0.8674648 ,0.8901547 ,1.131589 ,0.9836282 ,0.9937153 ,0.871275 ,0.9812828 ,0.9349613 ,0.9049021 ,1.129743 ,1.229675 ,1.377325 ,1.086343 ,0.9505214 ,0.9274882 ,0.9879129 ,0.9875604 ,0.9874797 ,0.9651743 ,1.02116 ,0.9607749 ,1.001156 ,0.8407999 ,0.7583042 ,0.8188108 ,0.9231215 ,0.9536995 ,0.6989231 ,0.5896362 ,0.4025885 ,0.5053024 ,0.6414875 ,0.8270581 ,0.7234588 ,0.6752909 ,0.7364344 ,0.9240999 ,1.016777 ,0.9764866 ,0.9009814 ,0.7496272 ,0.5957175 ,0.4572919 ,0.3742109 ,0.3976702 ,0.4868408 ,0.5188528 ,0.4390947 ,0.3521065 ,0.3013709 ,0.283818 ,0.2662652 ,0.2487123 ,0.2311595 ,0.2223831 ,
6 ,0.3270668 ,0.3455671 ,0.3825676 ,0.4195682 ,0.4565688 ,0.4935694 ,0.4939065 ,0.453814 ,0.4176569 ,0.4968002 ,0.701785 ,0.9977625 ,1.137377 ,1.077577 ,0.8572931 ,0.7268734 ,0.7500742 ,0.8003895 ,0.7886803 ,0.7450711 ,0.7121847 ,0.6966361 ,0.8078251 ,0.9594777 ,0.9425917 ,0.8066754 ,0.7416112 ,0.7556618 ,0.7715365 ,0.7093096 ,0.7414907 ,0.7154153 ,0.6921386 ,0.7991026 ,0.8398224 ,0.7296865 ,0.670445 ,0.8165514 ,1.137971 ,1.052764 ,1.04327 ,0.9283761 ,0.972116 ,0.8970375 ,0.8502537 ,0.9324917 ,1.021237 ,1.174626 ,1.095352 ,0.9392812 ,0.8307455 ,0.820366 ,0.837151 ,0.8015404 ,0.7733549 ,0.7153484 ,0.777604 ,0.8836923 ,0.8893128 ,0.9865475 ,0.9516613 ,1.009289 ,0.8285201 ,0.7328899 ,0.6679721 ,0.5767905 ,0.6142909 ,0.7125213 ,0.8934615 ,0.8269233 ,0.7931116 ,0.7700818 ,0.886545 ,0.9362199 ,0.909637 ,0.786023 ,0.5896124 ,0.419394 ,0.4088082 ,0.4588089 ,0.5449567 ,0.616878 ,0.6010657 ,0.4778305 ,0.351269 ,0.2632926 ,0.210634 ,0.1579755 ,0.105317 ,0.05265851 ,0.02632926 ,
7 ,0.3303952 ,0.3581456 ,0.4136465 ,0.4691473 ,0.5246482 ,0.580149 ,0.5933941 ,0.5600429 ,0.4973433 ,0.4765932 ,0.5480949 ,0.7591586 ,0.9284748 ,0.9741539 ,0.8645074 ,0.7497634 ,0.773376 ,0.7713824 ,0.7073854 ,0.6581849 ,0.7194303 ,0.7582261 ,0.8377361 ,0.732897 ,0.6748097 ,0.5717802 ,0.710545 ,0.7607271 ,0.8026766 ,0.6814801 ,0.6783389 ,0.762949 ,0.7752733 ,0.762449 ,0.7439226 ,0.6607373 ,0.7536539 ,0.79014 ,1.030502 ,1.049516 ,0.9725782 ,0.8104313 ,0.7748302 ,0.6946883 ,0.8027159 ,0.9844001 ,1.181446 ,1.165701 ,1.022581 ,0.8511589 ,0.9028638 ,0.8232616 ,0.8376629 ,0.8197508 ,0.9164601 ,0.8984821 ,0.8559283 ,0.9070596 ,0.9700659 ,1.109854 ,1.068548 ,1.030733 ,0.7924884 ,0.7195427 ,0.7023229 ,0.7300965 ,0.7651502 ,0.859305 ,0.9586499 ,0.910267 ,0.903876 ,0.8481574 ,0.8032266 ,0.7356004 ,0.7605242 ,0.7021121 ,0.5420062 ,0.3884844 ,0.485533 ,0.597551 ,0.6028076 ,0.5143561 ,0.4163933 ,0.3591458 ,0.3195725 ,0.2823317 ,0.247226 ,0.2121204 ,0.1770147 ,0.141909 ,0.1243562 ,
8 ,0.3237384 ,0.3329885 ,0.3514888 ,0.3699891 ,0.3884894 ,0.4069897 ,0.4198977 ,0.4266389 ,0.4272133 ,0.4272133 ,0.4985839 ,0.7415729 ,0.9531575 ,1.016595 ,0.8818025 ,0.7497634 ,0.6861575 ,0.6312627 ,0.6028668 ,0.7206574 ,0.9156639 ,0.9538312 ,0.8989507 ,0.777088 ,0.667142 ,0.5656513 ,0.7229179 ,0.8475148 ,0.8831446 ,0.7151112 ,0.6886009 ,0.7970087 ,0.8022824 ,0.7379812 ,0.6325243 ,0.476304 ,0.6791815 ,0.7147827 ,0.9012379 ,0.835747 ,0.8575025 ,0.9144791 ,0.8998038 ,0.8087842 ,0.7607761 ,1.082205 ,1.314851 ,1.272187 ,0.9682721 ,0.7612485 ,0.7862356 ,0.664999 ,0.758995 ,0.8568391 ,0.9616044 ,0.9116251 ,0.8710034 ,0.9479386 ,1.048407 ,1.124243 ,0.9787477 ,0.820276 ,0.6159409 ,0.682547 ,0.7365295 ,0.7365295 ,0.7163733 ,0.8632839 ,0.9716812 ,1.031974 ,1.031113 ,1.012714 ,0.8814271 ,0.656958 ,0.5986676 ,0.5779552 ,0.5532165 ,0.4708385 ,0.5540531 ,0.664862 ,0.7005869 ,0.6211594 ,0.5231966 ,0.4654537 ,0.419534 ,0.3700959 ,0.3174374 ,0.2647789 ,0.2121204 ,0.1594618 ,0.1331326 ,
9 ,0.32041 ,0.32041 ,0.32041 ,0.32041 ,0.32041 ,0.32041 ,0.3458888 ,0.3994638 ,0.4638867 ,0.4846368 ,0.4934269 ,0.5557259 ,0.6702076 ,0.7706554 ,0.7535229 ,0.6996157 ,0.5999969 ,0.5260086 ,0.5014521 ,0.6542815 ,0.9390904 ,1.089822 ,1.037173 ,0.9205484 ,0.7100283 ,0.6788295 ,0.794357 ,0.8676123 ,0.7354366 ,0.5852538 ,0.5237 ,0.6996859 ,0.7298609 ,0.9214972 ,0.7910488 ,0.6363282 ,0.5992585 ,0.6344172 ,0.732237 ,0.6309904 ,0.717422 ,0.7777382 ,0.9198566 ,0.9229817 ,0.9161167 ,1.183095 ,1.368375 ,1.290011 ,0.9714402 ,0.829514 ,0.9523483 ,0.9375171 ,0.8810687 ,0.90772 ,1.013824 ,1.05266 ,0.9215532 ,0.8658811 ,0.855787 ,0.8889475 ,0.8091874 ,0.6996126 ,0.6264476 ,0.6275568 ,0.7292372 ,0.7822086 ,0.8056498 ,0.8764215 ,0.921075 ,0.9614617 ,1.026058 ,1.083367 ,0.9639902 ,0.7109568 ,0.603859 ,0.6947598 ,0.7436415 ,0.6560721 ,0.6276735 ,0.6753939 ,0.7398347 ,0.6785673 ,0.5601638 ,0.4390947 ,0.3521065 ,0.3013709 ,0.283818 ,0.2662652 ,0.2487123 ,0.2311595 ,0.2223831 ,
